a,word,level
1774,enable,A1
1775,enact,A3
1776,encompass,A3
1777,encounter,A1
1779,encourage,A2
1780,encouragement,A3
1781,encouraging,A3
1782,end,A1
1784,endeavour,A3
1785,ending,A1
1786,endless,A3
1787,endorse,A3
1788,endorsement,A3
1789,endure,A3
1790,enemy,A2
1791,energy,A1
1792,enforce,A3
1793,enforcement,A3
1794,engage,A1
1795,engaged,A2
1796,engagement,A3
1797,engaging,A3
1798,engine,A1
1799,engineer,A1
1800,engineering,A2
1801,enhance,A1
1802,enjoy,A1
1803,enjoyable,A1
1804,enormous,A1
1805,enough,A1
1808,enquire,A3
1809,enquiry,A1
1810,enrich,A3
1811,enrol,A3
1812,ensue,A3
1813,ensure,A1
1814,enter,A1
1815,enterprise,A3
1816,entertain,A2
1817,entertaining,A1
1818,entertainment,A2
1819,enthusiasm,A1
1820,enthusiast,A3
